__time,/bota_serial/wrench_stamped/header/stamp/nanosec,/bota_serial/wrench_stamped/header/stamp/sec,/bota_serial/wrench_stamped/wrench/force/x,/bota_serial/wrench_stamped/wrench/force/y,/bota_serial/wrench_stamped/wrench/force/z,/bota_serial/wrench_stamped/wrench/torque/x,/bota_serial/wrench_stamped/wrench/torque/y,/bota_serial/wrench_stamped/wrench/torque/z,/rosout/level,/rosout/line,/rosout/stamp/nanosec,/rosout/stamp/sec,/vrpn_mocap/RigidBody1/pose/header/header/stamp,/vrpn_mocap/RigidBody1/pose/pose/orientation/pitch,/vrpn_mocap/RigidBody1/pose/pose/orientation/roll,/vrpn_mocap/RigidBody1/pose/pose/orientation/w,/vrpn_mocap/RigidBody1/pose/pose/orientation/x,/vrpn_mocap/RigidBody1/pose/pose/orientation/y,/vrpn_mocap/RigidBody1/pose/pose/orientation/yaw,/vrpn_mocap/RigidBody1/pose/pose/orientation/z,/vrpn_mocap/RigidBody1/pose/pose/position/x,/vrpn_mocap/RigidBody1/pose/pose/position/y,/vrpn_mocap/RigidBody1/pose/pose/position/z
1726772539.371462,371462319.000000000,1726772539.000000000,4.650666237,1.032750607,5.460655689,0.111645982,-0.069654010,0.049812008,,,,,,,,,,,,,,,
1726772539.375720,375720096.000000000,1726772539.000000000,4.491731644,1.102127075,5.023756027,0.113140978,-0.067355007,0.048313007,,,,,,,,,,,,,,,
1726772539.379087,379087485.000000000,1726772539.000000000,4.586008072,1.157368660,5.365334034,0.113812000,-0.069477007,0.049633000,,,,,,,,,,,,,,,
1726772539.403727,403726485.000000000,1726772539.000000000,4.342496872,1.100620747,5.396180153,0.113693997,-0.066038013,0.044826012,,,,,,,,,,,,,,,
1726772539.410551,410551411.000000000,1726772539.000000000,4.269274712,1.018335342,5.043318272,0.113593973,-0.067410007,0.044382002,,,,,,,,,,,,,,,
1726772539.414706,414705745.000000000,1726772539.000000000,4.513344765,1.150073051,5.179625511,0.118370011,-0.075033009,0.047161009,,,,,,,,,,,,,,,
1726772539.433579,433579356.000000000,1726772539.000000000,4.303595066,1.190557003,5.202698708,0.120877996,-0.073818013,0.043393001,,,,,,,,,,,,,,,
1726772539.437583,437582856.000000000,1726772539.000000000,4.313212395,1.035509109,5.281725883,0.121544994,-0.075419009,0.044493005,,,,,,,,,,,,,,,
1726772539.441319,441318393.000000000,1726772539.000000000,4.212385178,1.155847073,4.770268440,0.127991006,-0.073505014,0.042409010,,,,,,,,,,,,,,,
1726772539.464453,464452467.000000000,1726772539.000000000,4.257623196,1.109546900,5.158487320,0.130939975,-0.076672018,0.040551003,,,,,,,,,,,,,,,
1726772539.468391,468390893.000000000,1726772539.000000000,4.277719021,1.116688490,4.652799129,0.133104995,-0.076850004,0.040325008,,,,,,,,,,,,,,,
1726772539.472168,472167800.000000000,1726772539.000000000,4.321642399,1.072450638,5.119804859,0.132378995,-0.077936009,0.039925002,,,,,,,,,,,,,,,
1726772539.495443,495442578.000000000,1726772539.000000000,4.270659924,1.108883619,5.057954788,0.133300990,-0.076526009,0.040447004,,,,,,,,,,,,,,,
1726772539.499661,499661004.000000000,1726772539.000000000,4.294792175,1.141029596,4.741342545,0.134862974,-0.077021010,0.042569000,,,,,,,,,,,,,,,
1726772539.503005,503005374.000000000,1726772539.000000000,4.362413406,1.037751675,5.115622044,0.132789001,-0.077937007,0.045784004,,,,,,,,,,,,,,,
