__time,/bota_serial/wrench_stamped/header/stamp/nanosec,/bota_serial/wrench_stamped/header/stamp/sec,/bota_serial/wrench_stamped/wrench/force/x,/bota_serial/wrench_stamped/wrench/force/y,/bota_serial/wrench_stamped/wrench/force/z,/bota_serial/wrench_stamped/wrench/torque/x,/bota_serial/wrench_stamped/wrench/torque/y,/bota_serial/wrench_stamped/wrench/torque/z,/rosout/level,/rosout/line,/rosout/stamp/nanosec,/rosout/stamp/sec,/vrpn_mocap/RigidBody1/pose/header/header/stamp,/vrpn_mocap/RigidBody1/pose/pose/orientation/pitch,/vrpn_mocap/RigidBody1/pose/pose/orientation/roll,/vrpn_mocap/RigidBody1/pose/pose/orientation/w,/vrpn_mocap/RigidBody1/pose/pose/orientation/x,/vrpn_mocap/RigidBody1/pose/pose/orientation/y,/vrpn_mocap/RigidBody1/pose/pose/orientation/yaw,/vrpn_mocap/RigidBody1/pose/pose/orientation/z,/vrpn_mocap/RigidBody1/pose/pose/position/x,/vrpn_mocap/RigidBody1/pose/pose/position/y,/vrpn_mocap/RigidBody1/pose/pose/position/z
1726873518.879599,,,,,,,,,,,,,1726873518.879599333,-0.133093279,-0.108133573,0.396374464,0.039741546,-0.075743489,2.330500071,0.914095759,0.379033625,0.331532151,0.516493917
1726873518.889591,,,,,,,,,,,,,1726873518.889590979,-0.131990451,-0.108427822,0.398574859,0.038994681,-0.075757481,2.325667621,0.913169444,0.379106939,0.331202716,0.516427457
1726873518.899492,,,,,,,,,,,,,1726873518.899491549,-0.132941888,-0.107575132,0.400780201,0.039417211,-0.075650357,2.320822387,0.912194371,0.379192829,0.330868334,0.516379774
1726873518.909587,,,,,,,,,,,,,1726873518.909587145,-0.117771660,-0.104736105,0.408943474,0.032385178,-0.071663544,2.302395745,0.909164965,0.379653752,0.331154674,0.515886188
1726873518.909683,,,,,,,,,,,,,1726873518.909682512,-0.119134978,-0.103405250,0.410565704,0.033150893,-0.071392991,2.298812563,0.908427179,0.379759908,0.330625296,0.515731573
1726873518.919594,,,,,,,,,,,,,1726873518.919594288,-0.202741372,-0.102058217,0.411798418,0.071401380,-0.087699093,2.297290183,0.904230475,0.380532056,0.329361707,0.517849922
1726873518.929627,,,,,,,,,,,,,1726873518.929626942,-0.201708542,-0.101000250,0.416166484,0.070724584,-0.087359093,2.287530209,0.902314723,0.380822271,0.329011381,0.517657638
1726873518.939588,,,,,,,,,,,,,1726873518.939588070,-0.154933888,-0.102765044,0.416363090,0.049107466,-0.078637354,2.286729905,0.904459178,0.380403280,0.328547776,0.516186893
1726873518.949512,,,,,,,,,,,,,1726873518.949512482,-0.155178093,-0.103138584,0.418471992,0.048957393,-0.078970067,2.282088179,0.903464496,0.380508184,0.328102171,0.516036451
1726873518.959589,,,,,,,,,,,,,1726873518.959589481,-0.156147704,-0.102803344,0.419861794,0.049345382,-0.079094090,2.279007514,0.902787566,0.380595088,0.327641785,0.515869856
1726873518.959684,,,,,,,,,,,,,1726873518.959684372,-0.157582984,-0.101965330,0.421123981,0.050060049,-0.079082608,2.276185765,0.902161121,0.380704075,0.327184111,0.515742302
1726873518.969594,,,,,,,,,,,,,1726873518.969594002,-0.158418456,-0.100690433,0.422543496,0.050580505,-0.078761622,2.272978307,0.901496172,0.380817413,0.326708376,0.515611589
1726873518.979587,,,,,,,,,,,,,1726873518.979586840,-0.201575464,-0.097049141,0.428811461,0.070263110,-0.086556703,2.259102112,0.896488667,0.381576478,0.326317072,0.516742945
1726873518.989586,,,,,,,,,,,,,1726873518.989585876,-0.201119926,-0.093924042,0.432807207,0.070337236,-0.085383423,2.249933603,0.894673288,0.381903023,0.325848788,0.516609430
